Designator,Mid X,Mid Y,Rotation,Layer
C201,91.639472,-44.126439,270.0,top
C202,102.789472,-50.926439,0.0,bottom
C203,100.789472,-52.626439,180.0,bottom
C204,109.063086,-55.131368,90.0,bottom
C205,100.089472,-43.026439,180.0,bottom
C206,106.989472,-43.326439,180.0,top
C207,102.689472,-44.426439,270.0,top
C208,106.689472,-46.326439,180.0,top
C301,88.265915,-54.261572,90.0,bottom
C302,92.473229,-59.396294,0.0,bottom
C303,94.112104,-60.82985,0.0,bottom
C304,95.452684,-59.508899,0.0,bottom
C305,97.206689,-60.818424,0.0,bottom
C306,98.656095,-59.455619,0.0,bottom
C307,100.562641,-60.881706,0.0,bottom
C308,101.072388,-59.454354,0.0,bottom
C309,105.783679,-58.02139,90.0,bottom
C310,107.432051,-58.144139,270.0,bottom
C311,107.434986,-55.120896,270.0,bottom
C312,88.272109,-57.026855,90.0,top
C313,92.425549,-59.429745,180.0,top
C314,93.916872,-60.838586,180.0,top
C315,96.024184,-59.508899,180.0,top
C316,96.876489,-60.818424,180.0,top
C317,99.087895,-59.455619,180.0,top
C318,100.562641,-60.881706,180.0,top
C319,102.248317,-59.485994,180.0,top
C320,107.389472,-59.126439,270.0,top
C321,107.389472,-56.626439,270.0,top
C322,108.989472,-54.526439,270.0,top
C323,88.265915,-49.164388,90.0,bottom
C324,86.765915,-50.164388,90.0,bottom
C325,88.265915,-51.664388,90.0,bottom
C326,86.765915,-52.906657,90.0,bottom
C327,88.265915,-49.494588,90.0,top
C328,88.265915,-51.956488,90.0,top
C329,86.765915,-53.503841,90.0,top
C330,88.265915,-54.503841,90.0,top
C601,96.6792,-28.0,0.0,top
C701,129.912547,-70.82589,90.0,top
C702,135.058341,-70.804132,90.0,top
C703,135.132328,-55.550557,270.0,top
C704,130.052328,-55.635804,270.0,top
C705,135.009385,-45.162961,90.0,top
C706,129.918733,-45.134836,90.0,top
C707,134.976488,-30.355186,270.0,top
C708,129.912547,-30.348831,270.0,top
D701,132.4,-59.9,90.0,top
D702,132.5,-41.2,270.0,top
F301,33.706859,-47.739146,0.0,top
F302,33.717387,-50.310732,0.0,top
F303,33.763559,-52.844187,0.0,top
F304,33.763559,-55.390732,0.0,top
F305,33.763559,-57.915798,0.0,top
F306,33.763559,-60.470732,0.0,top
F307,33.763559,-63.010732,0.0,top
F308,33.763559,-65.550732,0.0,top
F309,33.763559,-68.090732,0.0,top
F310,33.763559,-70.630732,0.0,top
F311,33.7125,-75.75,0.0,top
F312,39.719787,-47.770732,0.0,top
F313,39.765801,-50.310732,0.0,top
F314,39.779402,-52.850732,0.0,top
F315,39.761902,-55.406561,0.0,top
F316,39.796997,-57.930732,0.0,top
F317,39.888559,-70.678193,0.0,top
F318,39.836206,-60.470732,0.0,top
F319,39.855472,-63.010732,0.0,top
F320,39.888559,-65.550732,0.0,top
F321,39.888559,-68.111715,0.0,top
F322,39.888559,-75.710732,0.0,top
F323,33.763559,-37.610732,0.0,top
F324,33.763559,-40.150732,0.0,top
F325,33.763559,-42.690732,0.0,top
F326,33.763559,-45.230732,0.0,top
F327,39.600893,-37.610732,0.0,top
F328,39.607843,-40.144045,0.0,top
F329,39.618977,-42.684941,0.0,top
F330,39.698901,-45.230732,0.0,top
FL701,132.42807,-78.221188,90.0,top
FL702,132.636715,-22.654388,270.0,top
Q601,94.527,-22.5,90.0,top
R201,93.078886,-44.107101,90.0,top
R301,65.780694,-43.0,270.0,top
R302,60.95,-48.0,270.0,top
R303,65.780694,-53.0,270.0,top
R304,60.8,-58.05,270.0,top
R305,65.5,-63.25,270.0,top
R306,61.0,-68.2,270.0,top
R307,65.780694,-73.5,270.0,top
R308,61.3,-78.35,270.0,top
R309,65.839232,-83.5,270.0,top
R310,61.0,-88.5,270.0,top
R311,65.5,-94.0,90.0,top
R312,69.486999,-40.800971,180.0,top
R313,69.414085,-45.726709,180.0,top
R314,69.376308,-50.95782,180.0,top
R315,69.477048,-55.924487,180.0,top
R316,69.606775,-61.138566,180.0,top
R317,69.606775,-66.071895,180.0,top
R318,69.606775,-71.151895,180.0,top
R319,69.606775,-76.231895,180.0,top
R320,69.606775,-81.311895,180.0,top
R321,69.606775,-86.391895,180.0,top
R322,69.606775,-91.471895,0.0,top
R323,65.65,-21.5,270.0,top
R324,61.35,-27.55,270.0,top
R325,65.95,-32.6,270.0,top
R326,60.85,-37.75,270.0,top
R327,69.489641,-25.450783,180.0,top
R328,69.606775,-30.474117,180.0,top
R329,69.537196,-35.591895,180.0,top
R330,69.606775,-20.266895,0.0,top
R601,93.0,-31.0,90.0,top
R602,93.0,-38.5,270.0,top
R701,130.052328,-84.122756,270.0,top
R702,135.132328,-84.122756,270.0,top
R703,135.015344,-63.215369,90.0,top
R704,129.923946,-63.117457,90.0,top
R705,127.60544,-78.371372,270.0,top
R706,137.543946,-78.471757,270.0,top
R707,130.052328,-58.171104,270.0,top
R708,135.132328,-58.085857,270.0,top
R709,129.945704,-66.047359,270.0,top
R710,135.060268,-66.047359,270.0,top
R711,132.502282,-54.819176,180.0,top
R712,132.504533,-46.114593,180.0,top
R713,134.977357,-35.124473,90.0,top
R714,129.907627,-35.073882,90.0,top
R715,137.543946,-22.530557,90.0,top
R716,127.383946,-22.530557,90.0,top
R717,129.923946,-42.850557,90.0,top
R718,134.982706,-42.87571,90.0,top
R719,129.899468,-37.763222,270.0,top
R720,134.993066,-37.764857,270.0,top
R721,135.132328,-16.330156,90.0,top
R722,130.052328,-16.305598,90.0,top
U201,97.909329,-50.994672,0.0,top
