Designator,Mid X,Mid Y,Rotation,Layer
C201,75.403784,-25.2,0.0,top
C202,72.9,-22.07,90.0,top
C203,75.400603,-26.5,0.0,top
C204,63.898564,-30.83,90.0,top
C205,72.902613,-19.970954,270.0,top
C206,65.350358,-39.001508,270.0,top
C207,62.901055,-37.541186,180.0,top
C208,76.351613,-39.65108,0.0,top
C209,75.525,-41.5,0.0,top
C210,78.479451,-30.348286,270.0,top
C211,69.137444,-26.485605,0.0,top
C212,69.136001,-25.3895,0.0,top
C213,92.326706,-25.632279,90.0,top
C214,69.130364,-24.267863,0.0,top
C215,102.674142,-44.847145,180.0,top
C216,102.4,-46.247145,180.0,top
C301,69.9,-6.0,270.0,top
C401,88.884,-97.92,0.0,top
C402,73.39,-99.104,180.0,top
C403,88.172606,-78.1,90.0,top
C404,48.2,-84.0245,180.0,top
C405,90.132686,-78.217627,90.0,top
C406,48.5,-82.2245,180.0,top
C407,104.047606,-82.0065,180.0,top
C408,52.741,-67.8745,270.0,top
C409,104.047606,-72.1405,0.0,top
C410,47.741,-67.9245,90.0,top
C411,104.047606,-77.1405,0.0,top
C412,45.241,-67.9245,90.0,top
C413,104.047606,-74.6405,0.0,top
C414,42.741,-67.9245,90.0,top
C415,104.127256,-70.358996,0.0,top
C416,41.138801,-67.950963,90.0,top
C417,104.936606,-65.3695,180.0,top
C418,36.191,-67.1245,270.0,top
C419,90.331606,-60.8845,0.0,top
C420,31.641,-81.6245,90.0,top
C421,90.331606,-58.3845,0.0,top
C422,29.141,-81.6245,90.0,top
C423,90.331606,-55.8845,0.0,top
C424,26.641,-81.6245,90.0,top
C501,41.952487,-38.94222,0.0,top
C502,42.13194,-25.963697,0.0,top
C503,45.577118,-41.64222,90.0,top
C504,45.577118,-36.44222,90.0,top
C505,45.495847,-28.503697,90.0,top
C506,45.50753,-23.423697,90.0,top
C507,58.554674,-36.439141,0.0,top
C508,61.343272,-33.801008,0.0,top
C509,28.027118,-39.9,0.0,top
C510,28.027118,-37.7,0.0,top
C511,27.757318,-26.910872,0.0,top
C512,27.768662,-24.500396,0.0,top
C513,53.4,-37.325,270.0,top
C601,73.2,-46.962788,0.0,top
C602,62.143769,-46.90997,0.0,top
C603,75.65,-70.95,270.0,top
C604,64.730604,-70.95,270.0,top
C605,77.92,-47.0,180.0,top
C606,77.3,-71.65,0.0,top
C607,74.0,-71.65,0.0,top
C608,66.35,-71.7,0.0,top
C609,63.05,-71.7,0.0,top
C610,66.90518,-46.914575,180.0,top
C611,72.621178,-61.964568,270.0,top
C612,75.601181,-54.25,0.0,top
C613,71.517357,-61.964568,270.0,top
C614,75.531919,-51.85,0.0,top
C615,75.606725,-53.15,0.0,top
C616,61.627419,-61.931525,270.0,top
C617,64.579591,-54.329479,0.0,top
C618,60.641141,-61.928131,270.0,top
C619,64.561759,-52.053502,0.0,top
C620,64.580741,-53.321894,0.0,top
C701,34.9,-103.3,270.0,top
C702,67.6,-92.1,0.0,top
C703,110.075,-109.175,0.0,top
C704,38.75,-107.4,90.0,top
D201,88.366855,-28.9,180.0,top
D202,81.889303,-10.742642,180.0,top
D203,84.55,-18.2,180.0,top
D204,84.7,-28.9,0.0,top
D205,80.4,-25.4,90.0,top
D206,91.792662,-22.945494,270.0,top
D207,89.826381,-34.1,270.0,top
D208,87.4,-40.7,90.0,top
D209,106.0,-46.25,180.0,top
D301,58.62,-8.4,0.0,top
D302,45.979595,-8.36153,0.0,top
D303,63.32,-8.4,180.0,top
D304,51.176469,-8.319107,180.0,top
D305,74.5,-8.3,180.0,top
D401,50.9,-42.9,270.0,top
D402,50.8,-49.0,270.0,top
D403,84.6,-96.1,180.0,top
D404,77.4,-96.1,0.0,top
D405,83.578,-91.4,270.0,top
D406,78.498,-91.4,270.0,top
D407,99.8,-74.7,0.0,top
D408,45.241,-72.25,90.0,top
D409,85.886606,-70.3225,90.0,top
D410,41.291,-86.2245,180.0,top
D501,41.3,-52.2125,270.0,top
D502,40.163614,-43.297057,180.0,top
D503,40.15,-34.5,0.0,top
D504,40.15,-30.25,180.0,top
D505,40.15,-21.645697,0.0,top
D701,32.4,-103.35,270.0,top
D702,67.6,-89.6,0.0,top
D703,110.175,-106.675,0.0,top
D704,41.45,-107.4,90.0,top
F301,53.4,-2.3,0.0,top
F302,42.0,-5.5,90.0,top
F401,84.086,-98.512,0.0,top
F402,77.99,-98.512,180.0,top
F701,67.3,-96.6,270.0,top
F702,94.0,-106.6,90.0,top
F703,43.9,-97.8,0.0,top
F704,44.65,-106.8,90.0,top
IC501,56.389183,-32.825,180.0,top
J202,95.574142,-32.947145,90.0,top
L201,67.620728,-24.825863,90.0,top
L401,94.141606,-82.1335,0.0,top
L402,52.844,-77.9605,90.0,top
L403,95.792606,-67.4015,180.0,top
L404,38.171,-76.2495,270.0,top
L501,22.277118,-38.811469,0.0,top
L502,22.286661,-25.78259,0.0,top
Q701,20.085,-92.585,180.0,top
Q702,45.189,-90.285,180.0,top
Q703,101.525,-91.5345,90.0,top
Q704,33.975,-95.125,0.0,top
Q705,58.675,-92.825,0.0,top
Q706,102.0,-106.3,270.0,top
Q707,25.055,-113.085,180.0,top
Q708,39.025,-115.625,0.0,top
R201,83.179303,-9.342642,0.0,top
R202,78.916566,-32.08985,0.0,top
R203,71.756068,-19.971613,270.0,top
R204,91.278487,-25.618257,270.0,top
R205,78.737473,-24.857683,270.0,top
R206,85.21,-30.4,180.0,top
R207,82.982517,-16.588807,180.0,top
R208,91.589029,-34.627659,270.0,top
R209,90.0,-40.047145,90.0,top
R210,91.125501,-37.3479,0.0,top
R211,100.2375,-49.15,0.0,top
R212,91.7,-42.1,90.0,top
R301,63.78,-10.7,0.0,top
R302,58.18,-10.7,180.0,top
R303,51.58,-10.6,0.0,top
R304,45.58,-10.6,180.0,top
R305,71.6,-7.0,90.0,top
R401,88.884,-99.02,0.0,top
R402,87.284,-98.52,270.0,top
R403,74.942,-98.504,270.0,top
R404,73.39,-98.004,180.0,top
R405,106.530224,-67.13905,270.0,top
R406,106.521363,-69.17559,270.0,top
R407,38.059926,-65.627553,0.0,top
R408,40.001,-65.6245,0.0,top
R409,86.394606,-72.6085,0.0,top
R410,43.591,-85.7245,90.0,top
R501,42.7004,-52.4709,270.0,top
R502,44.777118,-39.783886,180.0,top
